,final_cell_type_B cells,final_cell_type_CD4,final_cell_type_CD4 Treg,final_cell_type_CD8,final_cell_type_Collagen CAF,final_cell_type_IDO_CD4,final_cell_type_IDO_CD8,final_cell_type_IFN CAF,final_cell_type_Ki67_CD4,final_cell_type_Ki67_CD8,final_cell_type_PD1 CD4,final_cell_type_PDPN CAF,final_cell_type_SMA CAF,final_cell_type_TCF1/7 CD4,final_cell_type_TCF1/7 CD8,final_cell_type_dCAF,final_cell_type_endothelial,final_cell_type_high endothelial venules (HEV),final_cell_type_hypoxic CAF,final_cell_type_hypoxic tCAF,final_cell_type_iCAF,final_cell_type_lymphatic endothelial,final_cell_type_mCAF,final_cell_type_myeloid,final_cell_type_neutrophils,final_cell_type_tCAF,final_cell_type_vCAF,roi_id
final_cell_type_B cells,0.13084353793508896,0.0,0.0,0.0,0.0,0.0,0.0,-0.018393460300552514,0.0,0.0,0.0,-0.20767002835263523,-0.42105843824582384,0.0,0.0,-0.6042840062034232,0.0,0.0,-0.6409148918206949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_CD4 Treg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_Collagen CAF,0.0,0.0,0.0,0.0,1.0605344050729784,0.0,0.0,0.5927584352376519,0.0,0.0,0.0,0.0,-0.6231688882850959,0.0,0.0,0.19087919587677318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4505222354876594,0.8518751918628008,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_IDO_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_IDO_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_IFN CAF,-0.018393460300552514,0.0,0.0,0.0,0.2917285504977469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39167204441804676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621436269517911,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_Ki67_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_Ki67_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_PD1 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_PDPN CAF,-0.20767002835263523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530539918617868,-0.41185835420652667,0.0,0.0,0.0,0.0,0.0,-1.2415162608702603,0.0,0.0,0.0,0.0,0.0,-0.4279149800735657,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_SMA CAF,-0.404025142989286,0.0,0.0,0.0,-0.4982306076018268,0.0,0.0,-0.4471892263344258,0.0,0.0,0.0,-0.27249020992743994,-0.21419383382701845,0.0,0.0,-0.39118371477320013,-0.4285439427145671,0.0,-0.60177836968991,0.0,-0.4424518754996283,0.0,-0.20470541614891824,-0.23812911597119185,-0.533645781920615,-0.6243882105511674,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_TCF1/7 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_TCF1/7 CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_dCAF,-0.9053122557741101,0.0,0.0,0.0,0.19087919587677318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3867293842548704,0.0,0.0,0.3929705096266848,0.0,0.0,-0.736126670103758,0.0,0.4119404722128354,0.0,-0.42310767497183766,-0.12207825456534142,0.0,-0.1914295990448467,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_endothelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48653572326282196,0.0,0.0,-0.12130998161378116,0.0,0.0,-0.593504481255216,0.0,0.8163210785676275,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_high endothelial venules (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_hypoxic CAF,-0.6823073870027586,0.0,0.0,0.0,0.0,0.0,0.0,-1.0512543945582944,0.0,0.0,0.0,-0.9404900520071637,-0.5063268801611475,0.0,0.0,-0.6392171301829188,-0.593504481255216,0.0,-0.053201946299769244,0.0,0.0,0.0,-0.8975637565552936,-0.8975637565552936,-0.6011002591775501,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_hypoxic tCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_iCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6977234182692388,0.0,0.0,0.5880316751995422,0.8163210785676275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_lymphatic endothelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_mCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24690302494251198,0.0,0.0,-0.42310767497183766,0.0,0.0,-0.7214736409764841,0.0,0.0,0.0,0.490221091215689,0.0,-0.38522212255174915,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_myeloid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2936463413474335,0.0,0.0,-0.12207825456534142,0.0,0.0,-1.198590321806724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_neutrophils,0.0,0.0,0.0,0.0,0.4505222354876594,0.0,0.0,0.0621436269517911,0.0,0.0,0.0,-0.12688556607010354,-0.48249342436070813,0.0,0.0,0.0,0.0,0.0,-0.8229478532332852,0.0,0.0,0.0,-0.38522212255174915,0.0,0.11686470434862217,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_tCAF,0.0,0.0,0.0,0.0,0.8518751918628008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3056303989176104,0.0,0.0,-0.1914295990448467,0.0,0.0,0.0,0.0,0.7524697701810242,0.0,0.0,0.24149575013732005,0.0,0.7673650413659674,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_vCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_B cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_CD4 Treg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7376910450923418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14047536030787489,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16257942008136636,0.0,0.0,0.0,0.0,-0.5206710896151643,0.0,0.0,-0.6658562829404563,-0.4855667254240749,0.0,0.0,0.0,-0.2731259569711622,0.0,0.0,0.0,0.0,0.0,-0.41729745025341214,NSCLC_ALL_175_A_A1_10
final_cell_type_Collagen CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_IDO_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_IDO_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_IFN CAF,0.0,0.0,0.0,-0.16257942008136636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6360479241856982,0.0,0.0,-0.5325529208910051,-0.0019182145809239764,0.0,0.0,0.0,-0.6899505000846238,0.0,0.0,0.0,0.1384502598394966,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_Ki67_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8151027427340385,0.0,0.0,-0.23678865621268083,-0.18677105023393847,0.0,0.0,0.0,-0.39269312188211103,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_Ki67_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6492315861988224,0.0,0.0,-0.07306057900322666,-0.026259915305854663,0.0,0.0,0.0,-0.7046957511052016,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_PD1 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_PDPN CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_SMA CAF,0.0,0.0,-0.7376910450923418,-0.5206710896151643,0.0,0.0,0.0,-0.6360479241856982,-0.5932551279915942,-0.8253218770091586,0.0,0.0,-0.25641368882128396,0.0,-0.37749196770894544,-0.4424568287589251,-0.42490300327236574,0.0,0.004185482673221114,0.0,-0.44897590947289956,0.0,-0.2626035266526869,0.0,-0.8216996449734408,-0.31840417841745217,-0.3067521507130732,NSCLC_ALL_175_A_A1_10
final_cell_type_TCF1/7 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_TCF1/7 CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37749196770894544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_dCAF,0.0,0.0,0.0,-0.6658562829404563,0.0,0.0,0.0,-0.5325529208910051,-0.23678865621268083,-0.3740900608074199,0.0,0.0,-0.46176192927558013,0.0,0.0,-0.5447687465365826,-0.6206380265937677,0.0,0.0,0.0,-0.3802302412013362,0.0,-0.9204401702151034,0.0,-0.5409180493470618,-0.6580157108456679,-0.7920242728257364,NSCLC_ALL_175_A_A1_10
final_cell_type_endothelial,0.0,0.0,0.0,-0.4855667254240749,0.0,0.0,0.0,-0.4790385968675849,0.0,-0.026259915305854663,0.0,0.0,-0.46081545956990455,0.0,0.0,-0.46573661053909154,-0.4094550401983792,0.0,0.0,0.0,-0.5699465880107744,0.0,0.0,0.0,0.0585003700195829,-0.3025687211057923,-0.2597692199030284,NSCLC_ALL_175_A_A1_10
final_cell_type_high endothelial venules (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_hypoxic CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004185482673221114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1204273459346529,0.0,0.7128522260881933,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_hypoxic tCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_iCAF,0.0,0.0,-0.14047536030787489,-0.30115462626901107,0.0,0.0,0.0,-0.6899505000846238,-0.26775465344837057,-0.7046957511052016,0.0,0.0,-0.4594413133675222,0.0,0.0,-0.36598983571099675,-0.52164207826347,0.0,-0.1204273459346529,0.0,-0.4639399164115908,0.0,-0.4091109531530803,0.0,-0.6990933316856129,-0.8157962071507731,-0.4729892418208191,NSCLC_ALL_175_A_A1_10
final_cell_type_lymphatic endothelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_mCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2626035266526869,0.0,0.0,-0.9204401702151034,0.0,0.0,0.7128522260881933,0.0,-0.4760575571127599,0.0,0.2696855521905196,0.0,-0.24752901031591829,0.0,-0.19876930259743525,NSCLC_ALL_175_A_A1_10
final_cell_type_myeloid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_neutrophils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1384502598394966,0.0,0.0,0.0,0.0,-0.724790208087093,0.0,0.0,-0.5409180493470618,0.0585003700195829,0.0,0.0,0.0,-0.6990933316856129,0.0,-0.24752901031591829,0.0,-0.165555118008771,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_tCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31840417841745217,0.0,0.0,-0.6580157108456679,-0.3025687211057923,0.0,0.0,0.0,-0.8157962071507731,0.0,0.0,0.0,0.0,0.0,0.06450343546955471,NSCLC_ALL_175_A_A1_10
final_cell_type_vCAF,0.0,0.0,0.0,-0.41729745025341214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3067521507130732,0.0,0.0,-0.7920242728257364,-0.2597692199030284,0.0,0.0,0.0,-0.5821333425185606,0.0,-0.19876930259743525,0.0,0.0,0.06450343546955471,0.6732846911259094,NSCLC_ALL_175_A_A1_10
final_cell_type_B cells,0.0,0.0,0.0,0.0,0.16324336940299003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6646957952559978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7929701520517871,NSCLC_ALL_175_A_A1_11
final_cell_type_CD4,0.0,0.0,1.1442567281095848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34900099120710837,0.0,0.0,0.0,-0.18338886892905737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20522205965683893,NSCLC_ALL_175_A_A1_11
final_cell_type_CD4 Treg,0.0,1.1442567281095848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7059368858132052,0.0,0.0,0.0,0.23822780178484643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15060460417476915,NSCLC_ALL_175_A_A1_11
final_cell_type_CD8,0.0,0.0,0.0,0.0,-0.6297874621257148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8060952402455354,0.0,0.0,0.0,-0.5129793160583835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.591885043431637,0.0,-0.11867689005098514,NSCLC_ALL_175_A_A1_11
final_cell_type_Collagen CAF,0.16324336940299003,0.0,0.0,-0.6297874621257148,-0.08837182082482638,0.0,0.0,-0.5413128210093494,0.0,0.0,0.0,0.0,-0.5430197941717656,0.0,0.0,0.0,-0.27887370300737696,0.0,0.0,0.0,0.0,0.0,-0.3827303729255811,0.0,-0.5754390596250344,0.0,-0.28756900761036525,NSCLC_ALL_175_A_A1_11
final_cell_type_IDO_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_IDO_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_IFN CAF,0.0,0.0,0.0,0.0,-0.5413128210093494,0.0,0.0,0.17420510709903783,0.0,0.0,0.0,0.0,-1.0698922432032927,0.0,0.0,0.0,-0.6005443005327847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9805137970332038,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_Ki67_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_Ki67_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6646957952559978,0.0,0.0,0.0,0.10308570069222016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_PD1 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_PDPN CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_SMA CAF,-0.6646957952559978,-0.17291005549498248,-0.7059368858132052,-0.8060952402455354,-0.5349019320304433,0.0,0.0,-0.8938026845673984,0.0,-0.6646957952559978,0.0,0.0,-0.1358757633404226,0.0,0.0,0.0,-0.31771255214365,0.0,0.0,0.0,0.0,0.0,-0.28323655280261395,0.0,-0.6165302976172677,0.0,-0.22276588001790565,NSCLC_ALL_175_A_A1_11
final_cell_type_TCF1/7 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_TCF1/7 CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_dCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_endothelial,0.0,0.0,0.3631664756600752,-0.5129793160583835,-0.25331964570000515,0.0,0.0,-0.6005443005327847,0.0,0.10308570069222016,0.0,0.0,-0.3578296880029455,0.0,0.0,0.0,-0.10055460460012644,0.0,0.0,0.0,0.0,0.0,-0.24221667649461637,0.0,-0.6454693785809138,0.0,-0.284519126962699,NSCLC_ALL_175_A_A1_11
final_cell_type_high endothelial venules (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_hypoxic CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_hypoxic tCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_iCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_lymphatic endothelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_mCAF,0.0,0.0,0.0,0.0,-0.27627526991792806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2504441000405825,0.0,0.0,0.0,-0.19875105495917975,0.0,0.0,0.0,0.0,0.0,0.036305505673874354,0.0,-0.6000333510271765,0.0,-0.5231967793626021,NSCLC_ALL_175_A_A1_11
final_cell_type_myeloid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_neutrophils,0.0,0.0,-0.31725574749982005,-0.591885043431637,-0.6211963686421816,0.0,0.0,-0.9805137970332038,0.0,0.0,0.0,0.0,-0.6382494552061945,0.0,0.0,0.0,-0.6802313248576682,0.0,0.0,0.0,0.0,0.0,-0.6000333510271765,0.0,-0.5374635122882271,0.0,-1.0625210581186557,NSCLC_ALL_175_A_A1_11
final_cell_type_tCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_11
final_cell_type_vCAF,0.7929701520517871,0.0,0.0,-0.41970631494525856,-0.2553843843875349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22276588001790565,0.0,0.0,0.0,-0.284519126962699,0.0,0.0,0.0,0.0,0.0,-0.5231967793626021,0.0,-1.3635460384139777,0.0,0.38969707563428063,NSCLC_ALL_175_A_A1_11
final_cell_type_B cells,-0.22431037126433195,0.0,0.0,0.0,-0.39407772589459933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5483501146800231,0.0,0.0,-1.02598402573202,-0.5084730002706254,0.0,0.0,0.0,0.0,0.0,-0.30910192029034045,0.06356107702027285,0.35274093108587584,0.0,-1.0477050755813309,NSCLC_ALL_175_A_A1_12
final_cell_type_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_12
final_cell_type_CD4 Treg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_12
final_cell_type_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_12
